収入金額	合計所得1000万円以下	合計所得2000万円以下	合計所得2000超
442	307.2	317.2	327.2
444	308.9	318.9	328.9
446	310.6	320.6	330.6
448	312.3	322.3	332.3
450	314	324	334
452	315.7	325.7	335.7
454	317.4	327.4	337.4
456	319.1	329.1	339.1
458	320.8	330.8	340.8
460	322.5	332.5	342.5
462	324.2	334.2	344.2
464	325.9	335.9	345.9
466	327.6	337.6	347.6
468	329.3	339.3	349.3
470	331	341	351
472	332.7	342.7	352.7
474	334.4	344.4	354.4
476	336.1	346.1	356.1
478	337.8	347.8	357.8
480	339.5	349.5	359.5
482	341.2	351.2	361.2
484	342.9	352.9	362.9
486	344.6	354.6	364.6
488	346.3	356.3	366.3
490	348	358	368
492	349.7	359.7	369.7
494	351.4	361.4	371.4
496	353.1	363.1	373.1
498	354.8	364.8	374.8
500	356.5	366.5	376.5
502	358.2	368.2	378.2
504	359.9	369.9	379.9
506	361.6	371.6	381.6
508	363.3	373.3	383.3
510	365	375	385
512	366.7	376.7	386.7
514	368.4	378.4	388.4
516	370.1	380.1	390.1
518	371.8	381.8	391.8
520	373.5	383.5	393.5
522	375.2	385.2	395.2
524	376.9	386.9	396.9
526	378.6	388.6	398.6
528	380.3	390.3	400.3
530	382	392	402
532	383.7	393.7	403.7
534	385.4	395.4	405.4
536	387.1	397.1	407.1
538	388.8	398.8	408.8
540	390.5	400.5	410.5
542	392.2	402.2	412.2
544	393.9	403.9	413.9
546	395.6	405.6	415.6
548	397.3	407.3	417.3
550	399	409	419
552	400.7	410.7	420.7
554	402.4	412.4	422.4
556	404.1	414.1	424.1
558	405.8	415.8	425.8
560	407.5	417.5	427.5
562	409.2	419.2	429.2
564	410.9	420.9	430.9
566	412.6	422.6	432.6
568	414.3	424.3	434.3
570	416	426	436
572	417.7	427.7	437.7
574	419.4	429.4	439.4
576	421.1	431.1	441.1
578	422.8	432.8	442.8
580	424.5	434.5	444.5
582	426.2	436.2	446.2
584	427.9	437.9	447.9
586	429.6	439.6	449.6
588	431.3	441.3	451.3
590	433	443	453
592	434.7	444.7	454.7
594	436.4	446.4	456.4
596	438.1	448.1	458.1
598	439.8	449.8	459.8
600	441.5	451.5	461.5
602	443.2	453.2	463.2
604	444.9	454.9	464.9
606	446.6	456.6	466.6
608	448.3	458.3	468.3
610	450	460	470
612	451.7	461.7	471.7
614	453.4	463.4	473.4
616	455.1	465.1	475.1
618	456.8	466.8	476.8
620	458.5	468.5	478.5
622	460.2	470.2	480.2
624	461.9	471.9	481.9
626	463.6	473.6	483.6
628	465.3	475.3	485.3
630	467	477	487
632	468.7	478.7	488.7
634	470.4	480.4	490.4
636	472.1	482.1	492.1
638	473.8	483.8	493.8
640	475.5	485.5	495.5
642	477.2	487.2	497.2
644	478.9	488.9	498.9
646	480.6	490.6	500.6
648	482.3	492.3	502.3
650	484	494	504
652	485.7	495.7	505.7
654	487.4	497.4	507.4
656	489.1	499.1	509.1
658	490.8	500.8	510.8
660	492.5	502.5	512.5
662	494.2	504.2	514.2
664	495.9	505.9	515.9
666	497.6	507.6	517.6
668	499.3	509.3	519.3
670	501	511	521
672	502.7	512.7	522.7
674	504.4	514.4	524.4
676	506.1	516.1	526.1
678	507.8	517.8	527.8
680	509.5	519.5	529.5
682	511.2	521.2	531.2
684	512.9	522.9	532.9
686	514.6	524.6	534.6
688	516.3	526.3	536.3
690	518	528	538
692	519.7	529.7	539.7
694	521.4	531.4	541.4
696	523.1	533.1	543.1
698	524.8	534.8	544.8
700	526.5	536.5	546.5
702	528.2	538.2	548.2
704	529.9	539.9	549.9
706	531.6	541.6	551.6
708	533.3	543.3	553.3
710	535	545	555
712	536.7	546.7	556.7
714	538.4	548.4	558.4
716	540.1	550.1	560.1
718	541.8	551.8	561.8
720	543.5	553.5	563.5
722	545.2	555.2	565.2
724	546.9	556.9	566.9
726	548.6	558.6	568.6
728	550.3	560.3	570.3
730	552	562	572
732	553.7	563.7	573.7
734	555.4	565.4	575.4
736	557.1	567.1	577.1
738	558.8	568.8	578.8
740	560.5	570.5	580.5
742	562.2	572.2	582.2
744	563.9	573.9	583.9
746	565.6	575.6	585.6
748	567.3	577.3	587.3
750	569	579	589
752	570.7	580.7	590.7
754	572.4	582.4	592.4
756	574.1	584.1	594.1
758	575.8	585.8	595.8
760	577.5	587.5	597.5
762	579.2	589.2	599.2
764	580.9	590.9	600.9
766	582.6	592.6	602.6
768	584.3	594.3	604.3
770	586	596	606
772	587.9	597.9	607.9
774	589.8	599.8	609.8
776	591.7	601.7	611.7
778	593.6	603.6	613.6
780	595.5	605.5	615.5
782	597.4	607.4	617.4
784	599.3	609.3	619.3
786	601.2	611.2	621.2
788	603.1	613.1	623.1
790	605	615	625
792	606.9	616.9	626.9
794	608.8	618.8	628.8
796	610.7	620.7	630.7
798	612.6	622.6	632.6
800	614.5	624.5	634.5
802	616.4	626.4	636.4
804	618.3	628.3	638.3
806	620.2	630.2	640.2
808	622.1	632.1	642.1
810	624	634	644
812	625.9	635.9	645.9
814	627.8	637.8	647.8
816	629.7	639.7	649.7
818	631.6	641.6	651.6
820	633.5	643.5	653.5
822	635.4	645.4	655.4
824	637.3	647.3	657.3
826	639.2	649.2	659.2
828	641.1	651.1	661.1
830	643	653	663
832	644.9	654.9	664.9
834	646.8	656.8	666.8
836	648.7	658.7	668.7
838	650.6	660.6	670.6
840	652.5	662.5	672.5
842	654.4	664.4	674.4
844	656.3	666.3	676.3
846	658.2	668.2	678.2
848	660.1	670.1	680.1
850	662	672	682
852	663.9	673.9	683.9
854	665.8	675.8	685.8
856	667.7	677.7	687.7
858	669.6	679.6	689.6
860	671.5	681.5	691.5
862	673.4	683.4	693.4
864	675.3	685.3	695.3
866	677.2	687.2	697.2
868	679.1	689.1	699.1
870	681	691	701
872	682.9	692.9	702.9
874	684.8	694.8	704.8
876	686.7	696.7	706.7
878	688.6	698.6	708.6
880	690.5	700.5	710.5
882	692.4	702.4	712.4
884	694.3	704.3	714.3
886	696.2	706.2	716.2
888	698.1	708.1	718.1
890	700	710	720
892	701.9	711.9	721.9
894	703.8	713.8	723.8
896	705.7	715.7	725.7
898	707.6	717.6	727.6
900	709.5	719.5	729.5
902	711.4	721.4	731.4
904	713.3	723.3	733.3
906	715.2	725.2	735.2
908	717.1	727.1	737.1
910	719	729	739
912	720.9	730.9	740.9
914	722.8	732.8	742.8
916	724.7	734.7	744.7
918	726.6	736.6	746.6
920	728.5	738.5	748.5
922	730.4	740.4	750.4
924	732.3	742.3	752.3
926	734.2	744.2	754.2
928	736.1	746.1	756.1
930	738	748	758
932	739.9	749.9	759.9
934	741.8	751.8	761.8
936	743.7	753.7	763.7
938	745.6	755.6	765.6
940	747.5	757.5	767.5
942	749.4	759.4	769.4
944	751.3	761.3	771.3
946	753.2	763.2	773.2
948	755.1	765.1	775.1
950	757	767	777
952	758.9	768.9	778.9
954	760.8	770.8	780.8
956	762.7	772.7	782.7
958	764.6	774.6	784.6
960	766.5	776.5	786.5
962	768.4	778.4	788.4
964	770.3	780.3	790.3
966	772.2	782.2	792.2
968	774.1	784.1	794.1
970	776	786	796
972	777.9	787.9	797.9
974	779.8	789.8	799.8
976	781.7	791.7	801.7
978	783.6	793.6	803.6
980	785.5	795.5	805.5
982	787.4	797.4	807.4
984	789.3	799.3	809.3
986	791.2	801.2	811.2
988	793.1	803.1	813.1
990	795	805	815
992	796.9	806.9	816.9
994	798.8	808.8	818.8
